Major Country,Began,,,Ended,,,Death,Affected population,Homeless,Damage (USD if no units),Adjusted Damage to 2002,Reference,,,,,
,Year,Month,Day,Year,Month,Day,,,,,,,,,,,
Korea Rep,1977,8,7,1977,8,7,18,2000,,"13,000,000","46,428,571",EM-DAT,,,,,
Korea Rep,1978,6,,1978,6,,27,2000,,"400,000","1,333,333",EM-DAT,,,,,
Korea Rep,1984,8,31,1984,8,31,166,351171,,"165,000,000","343,750,000",EM-DAT,,,,,
Korea Rep,1987,8,16,1987,8,16,50,154000,,"22,000,000","42,307,692",EM-DAT,,,,,
Korea Rep,1991,7,22,1991,7,26,54,1536,,"105,000,000","169,354,839",EM-DAT,,,,,
Korea Rep,1996,7,26,1996,7,29,85,60365,,"120,000,000","166,666,667",EM-DAT,,,,,
Korea Rep,1997,7,1,1997,7,3,4,0,,"1,650,000","2,229,730",EM-DAT,,,,,
Korea Rep,1998,7,31,1998,8,10,403,121000,,"1,480,000,000","1,973,333,333",EM-DAT,,,,,
Korea Rep,2000,7,22,2000,7,22,13,2589,,"23,000,000","29,113,924",EM-DAT,,,,,
Korea Rep,2000,8,26,2000,8,29,7,500,,"27,000,000","34,177,215",EM-DAT,,,,,
Korea Rep,2001,7,14,2001,7,15,62,295000,,"76,000,000","93,827,160",EM-DAT,,,,,
Korea Rep,2002,8,5,2002,8,11,21,4007,,"345,000,000","420,731,707",EM-DAT,,,,,
Korea Rep,2004,8,15,2004,8,22,10,1501,,"5,548,000","6,377,011",EM-DAT,,,,,
Korea Rep,2004,9,11,2004,9,12,0,3190,,"1,047,000","1,203,448",EM-DAT,,,,,
Korea Rep,2011,7,27,2011,8,9,53,29000,,"52,000,000","50,485,437",EM-DAT,,,,,
Kyrgyzstan,1992,5,16,1992,5,17,4,,,"31,000,000","48,437,500",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
Kyrgyzstan,1998,5,18,1998,5,22,1,7728,,"2,400,000","3,200,000",EM-DAT,,,,,
Kyrgyzstan,2005,6,10,2005,6,13,3,2050,,"2,660,000","2,955,556",EM-DAT,,,,,
Kyrgyzstan,2007,4,17,2007,4,25,0,845,,"200,000","210,526",EM-DAT,,,,,
Lao P Dem Rep,1971,8,17,1971,8,17,14,115000,,"200,000","1,052,632",EM-DAT,,,,,
Lao P Dem Rep,1992,8,,1992,8,,10,150,,"21,828,000","34,106,250",EM-DAT,,,,,
Lao P Dem Rep,2000,9,,2000,9,,15,450000,,"1,000,000","1,265,823",EM-DAT,,,,,
Lao P Dem Rep,2013,6,,2013,8,,20,350077,,"60,000,000","56,074,766",EM-DAT,,,,,
Lao P Dem Rep,2013,9,16,2013,9,18,3,224176,,"61,000,000","57,009,346",EM-DAT,,,,,
Laos,1966,8,25,1966,9,1,300,"70,000","2,000","15,300,000","102,000,000",Office of U.S. Foreign Disaster Assistance (August 1993). Significant Data on Major Disasters Worldwide 1900-present,,,,,
Laos,1968,9,5,1968,9,12,2,"9,000",600,"1,280,000","8,000,000",Office of U.S. Foreign Disaster Assistance (August 1993). Significant Data on Major Disasters Worldwide 1900-present,,,,,
Lebanon,1987,6,14,1987,6,14,0,1500,,"10,000,000","19,230,769",EM-DAT,,,,,
Lesotho,2006,2,15,2006,2,23,9,,,"4,000,000","4,347,826",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
Libyan Arab Jamah,1995,10,,1995,10,,0,0,,"42,200,000","60,285,714",EM-DAT,,,,,
Luxembourg,1993,12,20,1993,12,31,0,0,,"10,000,000","15,151,515",EM-DAT,,,,,
Macedonia FRY,1995,7,,1995,7,,0,1500,,"245,000,000","350,000,000",EM-DAT,,,,,
Macedonia FRY,2004,6,4,2004,6,7,0,100000,,"3,600,000","4,137,931",EM-DAT,,,,,
Madagascar,2003,1,18,2003,1,31,16,23370,,"150,000,000","178,571,429",EM-DAT,,,,,
Madagascar,2004,3,7,2004,3,19,198,,,"250,000,000","287,356,322",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
"Madagascar, Mozambique, Swaziland, South Africa",1984,1,16,1984,2,2,,,,"199,000,000","414,583,333","[1]Office of U.S. Foreign Disaster Assistance (August 1993). Significant Data on Major Disasters Worldwide 1900-present
[2]Z.P. Kovács; D.B. Du Plessis; P.R. Bracher; P. Dunn; G.C.L. Mallory (May 1985). Documentation of the 1984 Domoina Floods
[3]Office of US Foreign Disaster Assistance. Annual Report for FY 1984.",,,,,
Malawi,1967,3,12,1967,3,1,0,"1,200","1,200","500,000","3,333,333",Office of U.S. Foreign Disaster Assistance (August 1993). Significant Data on Major Disasters Worldwide 1900-present,,,,,
Malawi,1969,1,1,1969,1,1,0,"2,300","2,300","200,000","1,176,471",Office of U.S. Foreign Disaster Assistance (August 1993). Significant Data on Major Disasters Worldwide 1900-present,,,,,
Malawi,1991,3,10,1991,3,15,472,150000,,"24,000,000","38,709,677",EM-DAT,,,,,
Malawi,1998,1,19,1998,2,4,4,15000,,"89,000","118,667",EM-DAT,,,,,
Malawi,2000,3,,2000,3,,0,20000,,"1,000,000","1,265,823",EM-DAT,,,,,
Malawi,2001,1,,2001,1,,59,500000,,"6,700,000","8,271,605",EM-DAT,,,,,
"Malawi, Mozambique",1997,1,15,1997,2,28,78,,,"30,000,000","40,540,541",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
Malaysia,1965,12,3,1965,12,5,6,"300,000",,"1,000,000","7,142,857",Office of U.S. Foreign Disaster Assistance (August 1993). Significant Data on Major Disasters Worldwide 1900-present,,,,,
Malaysia,1967,1,1,1967,1,1,50,"125,000","15,000","25,600,000","170,666,667",Office of U.S. Foreign Disaster Assistance (August 1993). Significant Data on Major Disasters Worldwide 1900-present,,,,,
Malaysia,1970,12,26,1971,1,6,61,"243,000",,"37,000,000","194,736,842",Office of U.S. Foreign Disaster Assistance (August 1993). Significant Data on Major Disasters Worldwide 1900-present,,,,,
Malaysia,1986,11,28,1986,11,28,11,25000,,"11,500,000","23,000,000",EM-DAT,,,,,
Malaysia,2000,11,21,2000,12,1,12,8000,,"1,000,000","1,265,823",EM-DAT,,,,,
Malaysia,2004,12,10,2004,12,18,13,15000,,"10,000,000","11,494,253",EM-DAT,,,,,
Malaysia,2006,12,19,2007,1,10,16,,,"22,000,000","23,157,895",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
Malaysia,2007,1,11,2007,2,1,17,137533,,"605,000,000","636,842,105",EM-DAT,,,,,
Malaysia,2007,12,7,2007,12,21,29,29000,,"363,000,000","382,105,263",EM-DAT,,,,,
Malaysia,2008,9,5,2008,9,7,,,,"108,000,000","109,090,909",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
Malaysia,2014,12,16,2014,12,30,17,230000,,"284,000,000","260,550,459",EM-DAT,,,,,
Malaysia,1997,8,23,1997,8,27,6,,,"39,000,000","52,702,703",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
Malaysia,2001,3,8,2001,3,8,0,,,"236,836","292,390",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
Malaysia - Tropical Storm Greg,1996,12,26,1996,12,28,200,,,"52,000,000","72,222,222",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
Maldives,1987,4,11,1987,4,11,0,300,,"6,000,000","11,538,462",EM-DAT,,,,,
"Martinique, US - Tropical Storm Klaus",1990,10,4,1990,10,6,6,,,"1,000,000",1666666.667,Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
Mexico,1965,8,21,,,,27,0,0,"8,000,000","57,142,857",Office of U.S. Foreign Disaster Assistance (August 1993). Significant Data on Major Disasters Worldwide 1900-present,,,,,
Mexico,1967,12,20,1967,12,20,0,"8,345",,"500,000","3,333,333",Office of U.S. Foreign Disaster Assistance (August 1993). Significant Data on Major Disasters Worldwide 1900-present,,,,,
Mexico,1973,8,,1973,8,,100,150000,,"100,000,000","500,000,000",EM-DAT,,,,,
Mexico,1978,3,,1978,3,,6,7000,,"24,300,000","81,000,000",EM-DAT,,,,,
Mexico,1980,11,,1980,11,,4,100000,,"87,000,000","228,947,368",EM-DAT,,,,,
Mexico,1982,11,26,1982,11,26,21,5000,,"114,600,000","260,454,545",EM-DAT,,,,,
Mexico,1988,9,10,1988,9,18,237,,,"68,200,000","126,296,296",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
Mexico,1989,9,9,1989,9,24,22,,,"4,300,000","7,543,860",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
Mexico,1990,9,22,1990,9,28,45,"17,800",,"44,000,000",73333333.33,Office of U.S. Foreign Disaster Assistance (August 1993). Significant Data on Major Disasters Worldwide 1900-present,,,,,
Mexico,1991,1,4,1991,1,4,0,22000,,"2,000,000","3,225,806",EM-DAT,,,,,
Mexico,1991,8,27,1991,9,5,12,,,"1,000,000","1,612,903",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
Mexico,1993,1,6,1993,1,20,20,30000,,"95,400,000","144,545,455",EM-DAT,,,,,
Mexico,1998,9,3,1998,9,12,274,25000,,"602,700,000","803,600,000",EM-DAT,,,,,
Mexico,1999,9,12,1999,10,29,636,616060,,"451,300,000","593,815,789",EM-DAT,,,,,
Mexico,2003,7,3,2003,7,4,0,,,"1,000,000","1,190,476",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
Mexico,2003,9,22,2003,10,1,2,,,"100,000,000","119,047,619",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
Mexico,2004,6,12,2004,6,12,1,350,,"3,600,000","4,137,931",EM-DAT,,,,,
Mexico,2007,10,28,2007,12,1,19,,,"5,000,000,000","5,263,157,895",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
Mexico,2010,1,26,2010,2,13,41,20000,,"16,000,000","16,000,000",EM-DAT,,,,,
Mexico,1993,11,4,1993,11,6,,,,"30,000,000","45,454,545",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
Mexico - Hurricane Lester,1992,8,23,1992,8,23,3,,,"3,000,000","4,687,500",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
Mexico - Hurricane Opal,1995,9,30,1995,10,2,10,,,"300,000,000","428,571,429",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
Mexico - Hurricane Roxanne,1995,10,12,1995,10,19,17,,,"60,000,000","85,714,286",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
Moldova Rep,1994,8,24,1994,8,29,47,25000,,"300,000,000","441,176,471",EM-DAT,,,,,
Moldova Rep,1997,7,6,1997,7,29,9,2244,,50000000,"67,567,568",EM-DAT,,,,,
Moldova Rep,1999,3,15,1999,3,15,0,1713,,"4,000,000","5,263,158",EM-DAT,,,,,
Moldova Rep,2002,6,,2002,6,,1,500,,"832,000","1,014,634",EM-DAT,,,,,
Moldova Rep,2005,8,18,2005,8,19,0,6500,,"7,752,000","8,613,333",EM-DAT,,,,,
Mongolia,1966,7,11,,,,57,"250,000",20000,"25,000,000","166,666,667",Office of U.S. Foreign Disaster Assistance (August 1993). Significant Data on Major Disasters Worldwide 1900-present,,,,,
Mongolia,2002,7,14,2002,7,16,7,,,"20,000","24,390",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
Mongolia,2003,7,21,2003,8,10,15,1650,,"270,000","321,429",EM-DAT,,,,,
Mongolia,2009,7,16,2009,7,26,26,15000,,"94,000","95,918",EM-DAT,,,,,
Morocco,1965,11,,1965,12,16,,"47,813","47,813","5,000,000","35,714,286",Office of U.S. Foreign Disaster Assistance (August 1993). Significant Data on Major Disasters Worldwide 1900-present,,,,,
Morocco,1970,1,22,1970,1,22,11,266444,,"30,000,000","166,666,667",EM-DAT,,,,,
Morocco,1995,8,17,1995,8,18,166,,,"10,000,000","14,285,714",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
Morocco,1996,1,21,1996,2,1,25,60000,,"55,000,000","76,388,889",EM-DAT,,,,,
Morocco,2001,12,23,2001,12,26,15,300,,"2,200,000","2,716,049",EM-DAT,,,,,
Morocco,2002,11,24,2002,11,29,80,15017,,"200,000,000","243,902,439",EM-DAT,,,,,
Morocco,2010,11,25,2010,12,6,32,75003,,"29,000,000","29,000,000",EM-DAT,,,,,
Mozambique,1967,2,,1967,2,,,"50,000","50,000","180,000,000","1,200,000,000",Office of U.S. Foreign Disaster Assistance (August 1993). Significant Data on Major Disasters Worldwide 1900-present,,,,,
Mozambique,1977,2,,1977,2,22,300,440000,,"55,500,000","198,214,286","EM-DAT,Significant Data on Major….",,,,,
Mozambique,1978,3,,1978,3,,40,200000,,"63,000,000","210,000,000",EM-DAT,,,,,
Mozambique,1985,2,,1985,2,,8,500000,,"500,000","1,020,408",EM-DAT,,,,,
Mozambique,1999,1,15,1999,3,15,23,70000,,"12,400,000","16,315,789",EM-DAT,,,,,
Mozambique,2000,1,26,2000,3,27,800,4500000,,"419,200,000","530,632,911",EM-DAT,,,,,
Mozambique,2001,1,1,2001,4,27,79,549326,,"36,000,000","44,444,444",EM-DAT,,,,,
Mozambique,2007,1,3,2007,3,10,46,,,"71,000,000","74,736,842",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
Mozambique,2007,12,11,2008,1,3,20,113535,,"100,000,000","101,010,101",EM-DAT,,,,,
Mozambique,2013,1,,2013,1,,119,240000,,"30,000,000","28,037,383",EM-DAT,,,,,
Mozambique - Cyclone Bonita,1996,2,13,1996,2,29,11,,,"14,500,000","20,138,889",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
Myanmar,1991,7,13,1991,7,13,23,359976,,"79,840,000","128,774,194",EM-DAT,,,,,
Myanmar,1992,5,,1992,5,,5,4625,,"55,115,000","86,117,188",EM-DAT,,,,,
Myanmar,2010,6,15,2010,6,26,60,,,"5,000","5,000",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
Myanmar,2011,10,19,2011,10,21,151,35734,,"1,700,000","1,650,485",EM-DAT,,,,,
Namibia,2006,2,24,2006,2,28,5,2100,,"8,490,000","9,228,261",EM-DAT,,,,,
Namibia,2011,3,1,2011,4,12,108,500000,,"12,000,000","11,650,485",EM-DAT,,,,,
NE(Brazil),1985,4,2,1985,4,17,32,,,"200,000,000","408,163,265",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
NE(China),1985,4,21,1985,4,29,,,,"1,300,000","2,653,061",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
Nepal,1968,10,1,1968,10,6,276,"1,000","1,000","300,000","1,875,000",Office of U.S. Foreign Disaster Assistance (August 1993). Significant Data on Major Disasters Worldwide 1900-present,,,,,
Nepal,1978,7,,1978,8,31,130,"27,000",700,"513,000","1,710,000",Office of U.S. Foreign Disaster Assistance (August 1993). Significant Data on Major Disasters Worldwide 1900-present,,,,,
Nepal,1983,9,,1983,9,,186,200050,,"10,000,000","21,739,130",EM-DAT,,,,,
Nepal,1987,8,,1987,8,,188,351000,,"727,500,000","1,399,038,462",EM-DAT,,,,,
Nepal,1989,7,22,1989,7,27,29,,,"896,000","1,571,930",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
Nepal,1989,9,1,1989,9,25,59,,,"1,440,000","2,526,316",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
Nepal,1993,8,23,1993,8,23,1048,553268,,"200,000,000","303,030,303",EM-DAT,,,,,
Nepal,1995,6,19,1995,7,25,139,,,"2,000,000","2,857,143",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
Nepal,1998,7,4,1998,8,25,260,70000,,"22,000,000","29,333,333",EM-DAT,,,,,
Nepal,1998,8,28,1998,8,31,50,0,,"5,000,000","6,666,667",EM-DAT,,,,,
Nepal,1999,6,,1999,6,,170,18068,,"2,000,000","2,631,579",EM-DAT,,,,,
Nepal,2000,6,,2000,6,,144,50070,,"6,300,000","7,974,684",EM-DAT,,,,,
Nepal,2007,7,23,2007,10,2,214,640706,,"2,400,000","2,526,316",EM-DAT,,,,,
Nepal,2008,7,,2008,8,,65,70000,,"29,000","29,293",EM-DAT,,,,,
Nepal,2009,10,4,2009,10,12,87,257786,,"60,000,000","61,224,490",EM-DAT,,,,,
Nepal,2012,5,5,2012,5,7,72,5,,"1,000,000","952,381",EM-DAT,,,,,
Nepal,2001,7,29,2001,8,1,20,,,"1,500,000","1,851,852",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
Nepal,2001,10,5,2001,10,7,2,,,"260,000","320,988",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
Netherlands,1992,8,12,1992,8,12,0,0,,"27,600,000","43,125,000",EM-DAT,,,,,
Netherlands,1993,12,21,1993,12,31,1,13000,,"53,000,000","80,303,030",EM-DAT,,,,,
Netherlands,1998,9,12,1998,9,14,0,2000,,"530,000,000","706,666,667",EM-DAT,,,,,
New Caledonia,1989,1,2,1989,1,8,196,,,"350,000,000","614,035,088",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
New Zealand,1984,1,26,1984,1,27,,,,"50,000,000","104,166,667",Office of U.S. Foreign Disaster Assistance (August 1993). Significant Data on Major Disasters Worldwide 1900-present,,,,,
New Zealand,1984,1,27,1984,1,29,0,6805,,"20,000,000","41,666,667",EM-DAT,,,,,
New Zealand,1986,3,13,1986,3,13,1,1360,,"19,800,000","39,600,000",EM-DAT,,,,,
New Zealand,1998,6,30,1998,7,20,0,200,,"75,000,000","100,000,000",EM-DAT,,,,,
New Zealand,2000,8,20,2000,8,20,0,0,,"1,000,000","1,265,823",EM-DAT,,,,,
New Zealand,2002,1,12,2002,1,15,0,300,,"500,000","609,756",EM-DAT,,,,,
New Zealand,2002,6,21,2002,6,23,1,,,"3,000,000","3,658,537",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
New Zealand,2003,10,3,2003,10,4,2,,,"3,000,000","3,571,429",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
New Zealand,2004,2,13,2004,2,25,2,2500,,"200,000,000","229,885,057",EM-DAT,,,,,
New Zealand,2004,7,18,2004,7,29,2,,,"45,000,000","51,724,138",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
New Zealand,2005,3,25,2005,3,26,,,,"50,000","55,556",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
New Zealand,2005,5,18,2005,5,21,0,400,,"72,000,000","80,000,000",EM-DAT,,,,,
New Zealand,2006,4,26,2006,4,28,0,1200,,"3,000,000","3,260,870",EM-DAT,,,,,
New Zealand,2007,3,29,2007,3,31,0,,,"80,000,000","84,210,526",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
New Zealand,2007,7,10,2007,7,13,0,,,"25,000,000","26,315,789",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
Nicaragua,1968,8,12,1968,8,28,,"1,300",260,"1,500,000","9,375,000",Office of U.S. Foreign Disaster Assistance (August 1993). Significant Data on Major Disasters Worldwide 1900-present,,,,,
Nicaragua,1982,5,23,1982,5,27,71,"40-50,000",,"356,500,000","810,227,273",http://pdf.usaid.gov/pdf_docs/pbaab185.pdf,,,,,
Nicaragua,1992,9,1,1992,9,1,100,,,"5,000,000","7,812,500",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
Nicaragua,1999,9,12,1999,10,10,11,107105,,"500,000","657,895",EM-DAT,,,,,
Nicaragua,2002,5,23,2002,6,5,0,13546,,"50,000","60,976",EM-DAT,,,,,
Nicaragua,2004,6,24,2004,7,20,25,,,"11,200,000","12,873,563",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
"Nicaragua, Costa Rica, Honduras and Mexico -",1993,9,16,1993,9,22,50,,,"5,000,000","7,575,758",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
Niger,1974,8,,1974,8,26,,"16,000",,"1,000,000","4,347,826",Office of U.S. Foreign Disaster Assistance (August 1993). Significant Data on Major Disasters Worldwide 1900-present,,,,,
Niger,1988,8,,1988,9,2,20,"80,000","80,000","10,200,000","18,888,889",Office of U.S. Foreign Disaster Assistance (August 1993). Significant Data on Major Disasters Worldwide 1900-present,,,,,
Niger,2012,7,15,2012,10,15,91,530952,,"2,750,000","2,619,048",EM-DAT,,,,,
Niger,2013,7,15,2013,8,15,32,165943,,"64,724,000","60,489,720",EM-DAT,,,,,
Nigeria,1985,9,23,1985,9,25,,,,"8,000,000","16,326,531",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
Nigeria,1988,8,7,1988,8,20,53,,,"14,200,000","26,296,296",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
Nigeria,1988,9,21,1988,10,5,,,,"1,000,000","1,851,852",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
Nigeria,1994,9,11,1994,9,15,30,580000,,"66,500,000","97,794,118",EM-DAT,,,,,
Nigeria,2000,8,15,2000,8,15,0,750,,"1,900,000","2,405,063",EM-DAT,,,,,
Nigeria,2000,9,20,2000,9,21,0,500,,"4,805,000","6,082,278",EM-DAT,,,,,
Nigeria,2001,8,27,2001,9,4,200,84065,,"3,000,000","3,703,704",EM-DAT,,,,,
Nigeria,2003,9,5,2003,10,28,16,210000,,"2,570,000","3,059,524",EM-DAT,,,,,
Nigeria,2005,8,7,2005,9,16,60,3004,,"147,000","163,333",EM-DAT,,,,,
Nigeria,2010,9,13,2010,9,30,40,1500200,,"30,000,000","30,000,000",EM-DAT,,,,,
Nigeria,2011,6,21,2011,6,22,24,950,,"4,500,000","4,368,932",EM-DAT,,,,,
Nigeria,2012,7,1,2012,10,31,363,7000867,,"500,000,000","476,190,476",EM-DAT,,,,,
"Nigeria, Ghana, Togo",1999,9,15,1999,10,11,85,,,"21,000,000","27,631,579",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
"North Korea, South Korea, Philippines - Typhoon Olga",1999,7,30,1999,8,8,152,,,"675,000,000","888,157,895",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
Northwest China,1993,8,27,1993,8,27,242,,,"26,000,000","39,393,939",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
Norway,1995,6,1,1995,6,14,1,4000,,"300,000,000","428,571,429",EM-DAT,,,,,
Oman,2002,5,10,2002,5,12,9,,,"25,000,000","30,487,805",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
Pakistan,1964,10,,1964,10,,,"74,427",,"500,000","3,571,429",Office of U.S. Foreign Disaster Assistance (August 1993). Significant Data on Major Disasters Worldwide 1900-present,,,,,
Pakistan,1967,7,24,1967,8,1,32,"150,000","150,000","2,800,000","18,666,667",Office of U.S. Foreign Disaster Assistance (August 1993). Significant Data on Major Disasters Worldwide 1900-present,,,,,
Pakistan,1973,8,,1973,8,15,474,"4,800,000",4800000,"661,500,000","3,307,500,000",Office of U.S. Foreign Disaster Assistance (August 1993). Significant Data on Major Disasters Worldwide 1900-present,,,,,
Pakistan,1976,8,2,1976,8,2,338,5566000,,"505,000,000","1,942,307,692",EM-DAT,,,,,
Pakistan,1988,8,18,1988,8,25,,,,"117,924,528","218,378,756",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
Pakistan,1992,7,15,1992,8,10,112,6184418,,"230,000","359,375",EM-DAT,,,,,
Pakistan,1992,9,8,1992,9,18,1334,6655450,,"1,000,000,000","1,562,500,000",EM-DAT,,,,,
Pakistan,1994,7,11,1994,9,16,333,,,"330,000,000","485,294,118",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
Pakistan,1999,5,20,1999,5,22,168,,,"10,935,915","14,389,362",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
Pakistan,2001,7,22,2001,7,25,210,400179,,"246,000,000","303,703,704",EM-DAT,,,,,
Pakistan,2002,8,22,2002,8,28,22,3010,,"30,000","36,585",EM-DAT,,,,,
Pakistan,2005,2,9,2005,2,16,520,7000450,,"30,000,000","33,333,333",EM-DAT,,,,,
Pakistan,2007,8,10,2007,8,13,44,20,,"327,118,000","344,334,737",EM-DAT,,,,,
Pakistan,2008,8,2,2008,8,4,36,200012,,"103,000,000","104,040,404",EM-DAT,,,,,
Pakistan,2010,7,27,2010,8,11,1600,,,"9,700,000,000","9,700,000,000",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
Pakistan,2011,8,12,2011,11,1,509,5400755,,"2,500,000,000","2,427,184,466",EM-DAT,,,,,
Pakistan,2012,8,,2012,10,29,480,5049364,,"2,500,000,000","2,380,952,381",EM-DAT,,,,,
Pakistan,2013,8,7,2013,8,21,234,1497725,,"1,500,000,000","1,401,869,159",EM-DAT,,,,,
Pakistan,2014,9,1,2014,10,11,367,2470673,,"2,000,000,000","1,834,862,385",EM-DAT,,,,,
Panama,1966,11,4,1966,11,1,20,"1,600","1,000","1,000,000","6,666,667",Office of U.S. Foreign Disaster Assistance (August 1993). Significant Data on Major Disasters Worldwide 1900-present,,,,,
Panama,1970,4,8,1970,4,8,48,4000,,"15,000,000","83,333,333",EM-DAT,,,,,
Panama,1971,,,1971,1,1,,"40,345",,"75,000,000","394,736,842",Office of U.S. Foreign Disaster Assistance (August 1993). Significant Data on Major Disasters Worldwide 1900-present,,,,,
Panama,1972,6,19,1972,6,22,,300,,"50,000","263,158",Office of U.S. Foreign Disaster Assistance (August 1993). Significant Data on Major Disasters Worldwide 1900-present,,,,,
Panama,1986,10,,1986,10,16,2,"3,500","2,500","350,000","700,000",Office of U.S. Foreign Disaster Assistance (August 1993). Significant Data on Major Disasters Worldwide 1900-present,,,,,
Panama,1995,10,10,1995,10,20,1,500,,"7,000,000","10,000,000",EM-DAT,,,,,
Panama,2000,9,,2000,9,,1,1000,,"1,300,000","1,645,570",EM-DAT,,,,,
Panama,2002,5,6,2002,5,11,4,11500,,"500,000","609,756",EM-DAT,,,,,
Panama,2005,1,11,2005,1,18,3,7000,,"7,000,000","7,777,778",EM-DAT,,,,,
Panama,2008,11,22,2008,11,25,12,23292,,"10,000,000","10,101,010",EM-DAT,,,,,
Papua New Guinea,1983,9,,1983,9,,11,13000,,"11,900,000","25,869,565",EM-DAT,,,,,
Papua New Guinea,1992,5,3,1992,5,6,,,,"12,000,000","18,750,000",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
Papua New Guinea,1993,6,12,1993,6,12,0,54000,,"2,500,000","3,787,879",EM-DAT,,,,,
Papua New Guinea,1999,4,23,1999,4,23,2,38000,,"43,228,000","56,878,947",EM-DAT,,,,,
