Major Country,Began,,,Ended,,,Death,Affected population,Homeless,Damage (USD if no units),Adjusted Damage to 2002,Reference,,,,,
,Year,Month,Day,Year,Month,Day,,,,,,,,,,,
Australia,2001,2,18,2001,2,23,0,670,,"13,000,000","16,049,383",EM-DAT,,,,,
Australia,2001,3,8,2001,3,15,3,3001,,"200,000,000","246,913,580",EM-DAT,,,,,
Australia,2003,2,5,2003,2,12,1,20,,"2,000,000","2,380,952",EM-DAT,,,,,
Australia,2003,12,2,2003,12,2,0,50,,"75,000,000","89,285,714",EM-DAT,,,,,
Australia,2004,1,14,2004,2,25,,,,"32,000,000","36,781,609",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
Australia,2004,1,29,2004,2,5,0,,,"1,000,000","1,149,425",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
Australia,2004,3,19,2004,3,27,,,,"20,000,000","22,988,506",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
Australia,2004,10,19,2004,10,22,0,100,,"5,500,000","6,321,839",EM-DAT,,,,,
Australia,2004,11,6,2004,11,10,2,,,"1,000,000","1,149,425",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
Australia,2004,12,8,2004,12,22,3,120,,"15,000,000","17,241,379",EM-DAT,,,,,
Australia,2005,2,3,2005,2,7,,,,"200,000,000","222,222,222",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
Australia,2005,6,30,2005,7,3,3,3000,,"58,000,000","64,444,444",EM-DAT,,,,,
Australia,2005,11,8,2005,11,13,1,,,"76,000,000","84,444,444",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
Australia,2006,1,9,2006,1,31,0,,,"2,250,000","2,445,652",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
Australia,2006,3,20,2006,4,17,0,,,"720,000,000","782,608,696",Dartmonth Flood Observatory-http://www.dartmouth.edu/~floods/Archives/index.html,,,,,
